exterior_color,interior_color,drivetrain,fuel_type,transmission,engine,vin,mileage,seller,reviews_count,seller_state,new_used,brand,comfort,interior_design,performance,value_for_the_money,exterior_styling,reliability,price,rating,year,model,features
glacier_white_metallic,,all_wheel_drive,diesel,8_speed_automatic,3.0l_v6_24v_ddi_dohc_turbo_diesel,wa1vmafp5ea067841,115581,autonation_usa_corpus_christi,,tx,used,audi,4.7,4.8,4.7,4.5,4.8,4.7,23698.0,3.9,2014,q5_3.0_tdi_prestige_quattro,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
dakota_gray_metallic,velvet_beige,all_wheel_drive,diesel,8_speed_automatic,3.0l_v6_24v_ddi_dohc_turbo_diesel,waufmafc2en056051,62447,north_bay_imports,,ct,used,audi,4.8,4.9,4.7,4.5,4.9,4.7,26995.0,4.5,2014,a6_3.0_tdi_premium_plus_quattro,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
gray,black,front_wheel_drive,gasoline,automatic_cvt,2.0l_i4_16v_gdi_dohc_turbo,wauafaflxgn002567,54252,carvana_touchless_delivery_to_your_home_reno,,,used,audi,4.7,4.5,4.6,4.3,4.6,4.7,23990.0,4.6,2016,a4_2.0t_premium,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
brilliant_black,black,all_wheel_drive,gasoline,6_speed_automatic_with_auto_shift,2.0l_i4_16v_gdi_dohc_turbo,waubfgff1f1129554,82257,suburban_volvo,2,mi,used,audi,4.6,4.5,4.6,4.4,4.6,4.4,17088.0,4.7,2015,a3_2.0t_premium,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""leather_seats"", ""stability_control""]"
vulcano_black_metallic,black,rear_wheel_drive,gasoline,8_speed_automatic,2.9l_v6_24v_gdi_dohc_twin_turbo,zarfaeav6j7583428,58989,russell_westbrook_alfa_romeo_maserati_fiat,106,ca,used,alfa,4.6,4.7,5.0,4.8,4.9,4.6,41495.0,4.5,2018,romeo_giulia_quadrifoglio,"[""alloy_wheels"", ""apple_carplay/android_auto"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""heated_steering_wheel"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""premium_sound_system"", ""remote_start"", ""stability_control""]"
alfa_white,tan_/_black,rear_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_sohc_turbo,zarfaman1l7630104,11635,brandon_auto_mall_alfa_romeo,78,fl,used,alfa,5.0,5.0,5.0,4.7,5.0,4.6,36591.0,5.0,2020,romeo_giulia_base,"[""alloy_wheels"", ""apple_carplay/android_auto"", ""backup_camera"", ""blind_spot_monitor"", ""bluetooth"", ""brake_assist"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""remote_start"", ""stability_control"", ""usb_port""]"
blue,pistachio_beige,all_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo,wa1lfafp3ea032944,56234,carvana_touchless_delivery_to_your_home,,,used,audi,4.7,4.8,4.7,4.5,4.8,4.7,24990.0,4.2,2014,q5_2.0t_premium_plus,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""navigation_system"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
blue,cardamom,all_wheel_drive,diesel,8_speed_automatic,3.0l_v6_24v_ddi_dohc_turbo_diesel,wa1vmafe3dd002773,59882,shift_bay_area,,ca,used,audi,4.5,4.0,4.1,3.9,4.4,4.1,25450.0,3.5,2013,q7_3.0_tdi_premium,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""leather_seats"", ""navigation_system"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""third_row_seating""]"
jet_black,obsidian_black,rear_wheel_drive,gasoline,8_speed_automatic,4.0l_v8_32v_gdi_dohc_twin_turbo,scfrmfcwxlgm08629,11124,o'gara_coach_beverly_hills,,ca,aston_martin_certified,aston,,,,,,,181990.0,3.0,2020,martin_db11_volante,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""stability_control"", ""usb_port""]"
white,nougat_brown,all_wheel_drive,diesel,8_speed_automatic,3.0l_v6_24v_ddi_dohc_turbo_diesel,waurmafd9en000629,106356,cars_trend_llc,,pa,used,audi,4.9,4.8,5.0,4.6,4.9,4.7,26950.0,3.4,2014,a8_l_3.0_tdi,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""homelink"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""premium_sound_system"", ""stability_control""]"
black,,front_wheel_drive,gasoline,automatic_cvt,2.0l_i4_16v_gdi_dohc_turbo,wauafafl5fn019436,50491,carvana_touchless_delivery_to_your_home,,,used,audi,4.7,4.7,4.7,4.7,4.8,4.9,22590.0,4.2,2015,a4_2.0t_premium,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
glacier_white_metallic,pistachio_beige,all_wheel_drive,e85_flex_fuel,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo_flexible_fuel,wa1lfafp8fa069540,106154,bill_brandt_ford_inc,,ca,used,audi,4.7,4.5,4.7,4.3,4.7,4.6,17296.0,4.7,2015,q5_2.0t_premium_plus,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""navigation_system"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
silver,black,,gasoline,5_speed_manual,7.0l_v8,ae9bmaah0j1mt1053,625,mclaren_boston,,ma,used,ac,4.0,5.0,5.0,5.0,5.0,5.0,94900.0,5.0,1965,shelby_cobra_*_replica_*,String[]
brilliant_black,black,all_wheel_drive,e85_flex_fuel,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo_flexible_fuel,wa1cfafp8fa090064,87875,jersey_city_autoland,,nj,used,audi,4.7,4.5,4.7,4.3,4.7,4.6,17262.0,4.5,2015,q5_2.0t_premium,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""homelink"", ""leather_seats"", ""power_liftgate"", ""premium_sound_system"", ""stability_control""]"
china_gray,obsidian_black,rear_wheel_drive,gasoline,8_speed_automatic,4.0l_v8_32v_gdi_dohc_twin_turbo,scfsmgaw8lgn03409,5426,cag___mercedes_benz_of_san_juan,,tx,used,aston,4.5,3.7,4.0,3.7,4.5,3.7,154995.0,4.8,2020,martin_vantage_base,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""stability_control"", ""usb_port""]"
black,,rear_wheel_drive,gasoline,automatic,12_cylinder_engine,scfrmfav5hgl03031,6950,black_bridge_motors,,ct,used,aston,5.0,5.0,5.0,4.7,5.0,4.7,144400.0,5.0,2017,martin_db11_coupe,"[""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""keyless_start"", ""lane_departure_warning"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""stability_control"", ""usb_port""]"
alfa_white,black,rear_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_sohc_turbo,zarfambn6l7626595,14485,bob_johnson_ford,,ny,used,alfa,5.0,5.0,5.0,4.7,5.0,4.6,40995.0,1.0,2020,romeo_giulia_ti,"[""alloy_wheels"", ""apple_carplay/android_auto"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""heated_steering_wheel"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""remote_start"", ""stability_control"", ""usb_port""]"
morning_frost_white,pure_black,rear_wheel_drive,gasoline,7_speed_automatic_with_auto_shift,6.0l_v12_48v_mpfi_dohc,scfekbcr5fgs01657,15575,miami_auto_broker,,fl,used,aston,5.0,5.0,5.0,5.0,5.0,5.0,112900.0,4.6,2015,martin_v12_vantage_s_base,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""stability_control""]"
red,black,front_wheel_drive,gasoline,6_speed_automatic_with_auto_shift,1.8l_i4_16v_gdi_dohc_turbo,wauacgff9f1084514,54466,georgia_supreme_motors,,ga,used,audi,4.6,4.5,4.6,4.4,4.6,4.4,18986.0,5.0,2015,a3_1.8t_premium,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""leather_seats"", ""stability_control"", ""sunroof/moonroof""]"
gray,black,all_wheel_drive,gasoline,8_speed_automatic,3.0l_v6_24v_gdi_dohc_supercharged,wa1lgafe6fd003093,81574,m_&_s_auto,,ca,used,audi,4.8,4.5,4.8,4.5,4.6,4.7,23447.0,4.4,2015,q7_3.0t_premium_plus,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""leather_seats"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""third_row_seating""]"
brilliant_black,,all_wheel_drive,gasoline,7_speed_automatic_with_auto_shift,3.0l_v6_24v_gdi_dohc_supercharged,waucgafrxea062976,72500,intouch_auto_outlet,,va,used,audi,4.7,4.7,4.9,4.5,4.9,4.7,26995.0,3.2,2014,s5_3.0t_premium_plus,"[""alloy_wheels"", ""backup_camera"", ""blind_spot_monitor"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""premium_sound_system"", ""rear_seat_entertainment"", ""stability_control"", ""sunroof/moonroof"", ""usb_port""]"
gray,titanium_gray,all_wheel_drive,gasoline,6_speed_automatic_with_auto_shift,2.0l_i4_16v_gdi_dohc_turbo,trubfafk2b1011896,50755,rollit_motors,,az,used,audi,4.8,4.5,5.0,4.8,5.0,4.7,19500.0,4.2,2011,tt_2.0t_premium_plus_quattro,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""homelink"", ""leather_seats"", ""premium_sound_system"", ""stability_control""]"
red,black,all_wheel_drive,gasoline,6_speed_manual,3.0l_v6_24v_gdi_dohc_supercharged,waumgafl5ea104227,104227,geneva_foreign_&_sports,,ny,used,audi,4.7,4.9,4.7,4.4,4.7,4.5,24447.0,4.3,2014,s4_3.0t_prestige,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""leather_seats"", ""memory_seat"", ""premium_sound_system"", ""stability_control""]"
white_tri_coat,red,all_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_sohc_turbo,zaspakan4k7c44687,34030,sharp_cars,,in,used,alfa,4.6,4.4,4.7,4.6,4.8,4.5,34500.0,4.2,2019,romeo_stelvio_base,"[""alloy_wheels"", ""apple_carplay/android_auto"", ""backup_camera"", ""blind_spot_monitor"", ""bluetooth"", ""brake_assist"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""power_liftgate"", ""remote_start"", ""stability_control"", ""usb_port""]"
gray,black,all_wheel_drive,gasoline,8_speed_automatic,3.0l_v6_24v_gdi_dohc_supercharged,wa1lgafe6fd025322,122153,car_nation_llc,,tn,used,audi,4.8,4.5,4.8,4.5,4.6,4.7,19999.0,4.7,2015,q7_3.0t_premium_plus,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""leather_seats"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof"", ""third_row_seating""]"
alfa_white,red_/_black,rear_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_sohc_turbo,zarfaman3l7636034,10651,russell_westbrook_alfa_romeo_maserati_fiat,106,ca,used,alfa,5.0,5.0,5.0,4.7,5.0,4.6,30995.0,4.5,2020,romeo_giulia_base,"[""alloy_wheels"", ""apple_carplay/android_auto"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""remote_start"", ""stability_control"", ""usb_port""]"
brilliant_black,black,all_wheel_drive,e85_flex_fuel,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo_flexible_fuel,wa1ufafl9ga006448,74647,harper_audi,,tn,used,audi,5.0,5.0,5.0,5.0,5.0,5.0,24962.0,4.9,2016,allroad_2.0t_premium_plus,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""homelink"", ""leather_seats"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
calla_white,black,all_wheel_drive,gasoline,automatic,4.2l_dohc_40_valve_fsi_direct_injection_v8_engine,wa1ev74lx8d025863,146948,first_class_cars,,ut,used,audi,4.5,4.5,4.4,4.0,4.5,3.9,10495.0,4.4,2008,q7_4.2l_premium,"[""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""heated_steering_wheel"", ""homelink"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""third_row_seating"", ""tow_hitch""]"
silver,black,all_wheel_drive,gasoline_fuel,a/t,310.0hp_3.0l_v6_cylinder_engine_gasoline_fuel,wauhgafc0cn151463,121245,,,,used,audi,4.8,4.7,4.7,4.5,4.7,4.6,15200.0,4.7,2012,a6_3.0_premium_quattro,"[""adaptive_cruise_control"", ""alloy_wheels"", ""automatic_emergency_braking"", ""backup_camera"", ""blind_spot_monitor"", ""bluetooth"", ""brake_assist"", ""cooled_seats"", ""heated_seats"", ""heated_steering_wheel"", ""keyless_start"", ""lane_departure_warning"", ""leather_seats"", ""led_headlights"", ""memory_seat"", ""navigation_system"", ""power_liftgate"", ""premium_sound_system"", ""rear_cross_traffic_alert"", ""remote_start"", ""stability_control"", ""sunroof/moonroof"", ""usb_port""]"
gray,,rear_wheel_drive,gasoline,8_speed_automatic,4.0l_v8_32v_gdi_dohc_twin_turbo,scfsmgbw5mgp05706,1081,the_luxury_collection_walnut_creek,,ca,used,aston,,,,,,,179950.0,4.1,2021,martin_vantage_base,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""stability_control"", ""usb_port""]"
red,black,rear_wheel_drive,gasoline,8_speed_a/t,4_cylinder_engine,zaspajan2k7c49106,13647,john_holt_chevrolet,,ok,used,alfa,4.6,4.4,4.7,4.6,4.8,4.5,38990.0,4.9,2019,romeo_stelvio_base,"[""alloy_wheels"", ""apple_carplay/android_auto"", ""backup_camera"", ""blind_spot_monitor"", ""bluetooth"", ""brake_assist"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""power_liftgate"", ""premium_sound_system"", ""remote_start"", ""stability_control"", ""usb_port""]"
yellow_tang,obsidian_black,rear_wheel_drive,gasoline,8_speed_automatic,4.0l_v8_32v_gdi_dohc_twin_turbo,scfsmgaw0kgn00891,13366,park_place_ltd,,wa,aston_martin_certified,aston,4.9,4.7,5.0,5.0,5.0,4.6,129950.0,3.2,2019,martin_vantage_base,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""stability_control"", ""usb_port""]"
brilliant_black,black,all_wheel_drive,e85_flex_fuel,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo_flexible_fuel,wa1lfafp8fa141353,109138,international_auto_outlet,,oh,used,audi,4.7,4.5,4.7,4.3,4.7,4.6,19995.0,3.7,2015,q5_2.0t_premium_plus,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""homelink"", ""leather_seats"", ""power_liftgate"", ""premium_sound_system"", ""stability_control""]"
silver,black,all_wheel_drive,e85_flex_fuel,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo_flexible_fuel,wa1cfafp9fa029192,84185,danis_auto,13,pa,used,audi,4.7,4.5,4.7,4.3,4.7,4.6,21997.0,5.0,2015,q5_2.0t_premium,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
daytona_gray_pearl,black,all_wheel_drive,gasoline,7_speed_automatic_with_auto_shift,5.2l_v10_40v_gdi_dohc,wuavnafg3en000184,23060,florida_performance_cars,,fl,used,audi,4.6,4.8,4.9,4.8,5.0,5.0,116995.0,5.0,2014,r8_5.2,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""homelink"", ""leather_seats"", ""navigation_system"", ""premium_sound_system"", ""stability_control""]"
gold,beige,all_wheel_drive,gasoline_fuel,6_speed_m/t,340.0hp_4.2l_8_cylinder_engine_gasoline_fuel,waupl68e65a067855,129090,,,,used,audi,4.5,4.9,4.7,4.5,4.8,4.2,6000.0,4.6,2005,s4_4.2_quattro,"[""bluetooth"", ""leather_seats"", ""sunroof/moonroof"", ""tow_hooks"", ""usb_port""]"
white,velvet_beige,all_wheel_drive,gasoline,8_speed_automatic,4.0l_v8_32v_gdi_dohc_twin_turbo,wau32afd7fn011268,47920,national_city_auto_center,163,ca,used,audi,5.0,4.9,4.8,4.7,4.8,4.7,37900.0,5.0,2015,a8_l_4.0t,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""premium_sound_system"", ""stability_control""]"
brilliant_black,black,all_wheel_drive,gasoline,6_speed_automatic_with_auto_shift,2.0l_i4_16v_gdi_dohc_turbo,wauefgff8f1021011,65877,dch_millburn_audi,,nj,used,audi,4.6,4.5,4.6,4.4,4.6,4.4,20399.0,4.7,2015,a3_2.0t_premium_plus,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""keyless_start"", ""leather_seats"", ""stability_control""]"
black,black,all_wheel_drive,gasoline,8_speed_automatic,3.0l_v6_24v_gdi_dohc_supercharged,wa1dgafp1da098568,99782,vip_auto_group_inc.,,fl,used,audi,4.7,4.7,4.5,4.2,4.6,4.3,16995.0,3.7,2013,q5_3.0t_premium_plus,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""memory_seat"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
onyx_black,,all_wheel_drive,gasoline,9_speed_automatic,4.0l_v8_32v_gdi_dohc_twin_turbo,scfvujaw3mtv03501,114,aston_martin_summit_short_hills,,nj,used,aston,,,,,,,215686.0,4.5,2021,martin_dbx_base,"[""adaptive_cruise_control"", ""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""keyless_start"", ""lane_departure_warning"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""rear_cross_traffic_alert"", ""remote_start"", ""stability_control""]"
stratus_white,obsidian_black,rear_wheel_drive,gasoline,6_speed_manual,4.7l_v8_32v_mpfi_dohc,scfefbbkxbgd15045,10102,ferrari_of_naples,,fl,used,aston,4.0,4.0,4.0,4.0,5.0,5.0,69991.0,3.8,2011,martin_v8_vantage_n420,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""leather_seats"", ""memory_seat"", ""stability_control""]"
base,crema,rear_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_sohc_turbo,zarfaman3k7604229,7255,city_volkswagen_of_chicago,245,il,used,alfa,4.7,4.7,4.8,4.5,5.0,4.3,31390.0,5.0,2019,romeo_giulia_base,"[""alloy_wheels"", ""apple_carplay/android_auto"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""heated_steering_wheel"", ""keyless_start"", ""leather_seats"", ""led_headlights"", ""memory_seat"", ""remote_start"", ""stability_control"", ""usb_port""]"
blue,saddle,all_wheel_drive,gasoline,automatic,v6_cylinder_engine,waukgafb4bn045075,110332,oliver_motors,,wi,used,audi,4.9,4.9,5.0,4.8,4.9,5.0,12900.0,4.9,2011,a6_prestige,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
meteor_gray_pearl,,all_wheel_drive,gasoline,6_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo,waulfafr1aa021567,67896,autonation_audi_volkswagen_spokane,,wa,used,audi,4.6,4.7,4.5,4.5,4.8,4.2,15991.0,4.6,2010,a5_2.0t_premium,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""stability_control"", ""sunroof/moonroof""]"
black,,all_wheel_drive,gasoline,8_speed_automatic,3.0l_v6_24v_gdi_dohc_supercharged,wauagafd4dn015932,90050,tred_private_seller_(capitol_hill),,wa,used,audi,4.9,5.0,4.9,4.7,4.8,4.6,19000.0,4.8,2013,a8_3.0t_quattro,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""premium_sound_system"", ""stability_control""]"
gray,,all_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo,wa1lfafp3ea070383,81827,oak_lawn_toyota,198,il,used,audi,4.7,4.8,4.7,4.5,4.8,4.7,20106.0,5.0,2014,q5_2.0t_premium_plus,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
charcoal,titanium_gray,all_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo,waugfafc5en020515,86511,competition_cars,,sc,used,audi,4.8,4.9,4.7,4.5,4.9,4.7,23850.0,5.0,2014,a6_2.0t_premium_plus_quattro,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""leather_seats"", ""memory_seat"", ""premium_sound_system"", ""stability_control""]"
black,cardamom_beige,front_wheel_drive,gasoline,automatic_cvt,2.0l_i4_16v_gdi_dohc_turbo,wauefafl7bn053082,79259,central_autohaus,,tx,used,audi,4.7,4.6,4.7,4.2,4.9,4.4,14888.0,3.3,2011,a4_2.0t_premium_plus,"[""alloy_wheels"", ""brake_assist"", ""leather_seats"", ""led_headlights"", ""premium_sound_system"", ""stability_control""]"
gray,purple,rear_wheel_drive,gasoline_fuel,6_speed_m/t,380.0hp_4.3l_8_cylinder_engine_gasoline_fuel,scfbb03bx6gc00002,48500,,,,used,aston,4.5,5.0,4.2,3.7,5.0,3.7,49500.0,4.3,2006,martin_v8_vantage_base,"[""alloy_wheels"", ""heated_seats"", ""leather_seats"", ""led_headlights"", ""memory_seat"", ""navigation_system"", ""premium_sound_system"", ""rear_seat_entertainment"", ""stability_control""]"
ice_silver_metallic,black,all_wheel_drive,gasoline,8_speed_automatic,4.0l_v8_32v_gdi_dohc_twin_turbo,waud2afdxdn009760,64736,vestavia_auto_plaza,,al,used,audi,5.0,5.0,4.9,4.8,4.9,5.0,34789.0,5.0,2013,s8_4.0t_quattro,"[""adaptive_cruise_control"", ""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""keyless_start"", ""leather_seats"", ""led_headlights"", ""memory_seat"", ""navigation_system"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
black,black,all_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_sohc_turbo,zarfanan9k7606010,20946,marino_chrysler_jeep_dodge_ram,795,il,used,alfa,4.7,4.7,4.8,4.5,5.0,4.3,36594.0,5.0,2019,romeo_giulia_base,"[""alloy_wheels"", ""apple_carplay/android_auto"", ""backup_camera"", ""blind_spot_monitor"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""heated_steering_wheel"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""remote_start"", ""stability_control"", ""sunroof/moonroof"", ""usb_port""]"
rosso,chocolate,rear_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_sohc_turbo,zaspajanxk7c37866,25974,toyota_of_tampa_bay_on_fletcher,37,fl,used,alfa,4.6,4.4,4.7,4.6,4.8,4.5,30771.0,5.0,2019,romeo_stelvio_base,"[""alloy_wheels"", ""apple_carplay/android_auto"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""power_liftgate"", ""remote_start"", ""stability_control"", ""usb_port""]"
phantom_black_pearl,black,all_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo,wa1lfafpxda042966,88490,volkswagen_of_salem,,or,used,audi,4.7,4.7,4.5,4.2,4.6,4.3,17964.0,4.5,2013,q5_2.0t_premium_plus,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
gray,black,all_wheel_drive,e85_flex_fuel,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo_flexible_fuel,wauffafl1gn000406,64930,carvana_touchless_delivery_to_your_home,,,used,audi,4.7,4.5,4.6,4.3,4.6,4.7,22990.0,4.2,2016,a4_2.0t_premium_plus,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
vesuvio_gray_metallic,black,rear_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_sohc_turbo,zaspajan7k7c39252,35775,bill_luke_chrysler_jeep_dodge_ram,,az,used,alfa,4.6,4.4,4.7,4.6,4.8,4.5,31575.0,4.3,2019,romeo_stelvio_base,"[""alloy_wheels"", ""apple_carplay/android_auto"", ""backup_camera"", ""blind_spot_monitor"", ""bluetooth"", ""brake_assist"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""power_liftgate"", ""remote_start"", ""stability_control"", ""sunroof/moonroof"", ""usb_port""]"
black,nougat_brown,all_wheel_drive,gasoline,8_speed_automatic,4.2l_v8_32v_gdi_dohc,wauavafd9bn013967,71007,henna_chevrolet,,tx,used,audi,4.8,4.8,4.7,4.3,4.6,4.3,20350.0,4.7,2011,a8_4.2_quattro,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
silver,black,all_wheel_drive,gasoline,6_speed_manual,1.8l_i4_20v_mpfi_dohc_turbo,truwt28n221008939,124023,bay_city_motors,,ca,used,audi,4.3,4.6,4.7,4.5,4.8,4.2,9499.0,4.0,2002,tt_quattro,"[""alloy_wheels"", ""leather_seats"", ""stability_control""]"
